category,priority,potential_score,funnel_stage,funnel_rationale,topic_pt,topic_es,Aprovado
Career,Alta,9.8,Fundo,Transactional/Service focused,EB-2 NIW: O Segredo dos Profissionais de Elite para Morar e Trabalhar Legalmente nos EUA sem Empregador,EB-2 NIW: El Secreto de los Profesionales de Élite para Vivir y Trabajar Legalmente en EE. UU. sin Empleador,
Career,Alta,9.8,Meio,Specific interest but not purely transactional,Profissionais de Saúde: Oportunidades Únicas de Green Card nos EUA Devido à Escassez,Profesionales de la Salud: Oportunidades Únicas de Green Card en EE. UU. Debido a la Escasez,
Career,Alta,9.8,Fundo,Transactional/Service focused,Green Card EB-2 NIW: A Chave para a Estabilidade e Crescimento Profissional nos EUA,Green Card EB-2 NIW: La Clave para la Estabilidad y Crecimiento Profesional en EE. UU.,
Career,Alta,9.7,Fundo,Transactional/Service focused,Guia Definitivo: Como Otimizar seu Perfil para um Green Card EB-2 NIW em 2024,Guía Definitiva: Cómo Optimizar tu Perfil para una Green Card EB-2 NIW en 2024,
Career,Alta,9.7,Fundo,Transactional/Service focused,De Médico no Brasil a Green Card nos EUA: Um Caminho Acelerado via EB-2 NIW,De Médico en Latam a Green Card en EE. UU.: Un Camino Acelerado vía EB-2 NIW,
Career,Alta,9.7,Fundo,Transactional/Service focused,Profissionais de TI Pós-Layoffs: Novas Estratégias de Green Card EB-2 NIW para o Mercado Americano,Profesionales de TI Post-Despidos: Nuevas Estrategias de Green Card EB-2 NIW para el Mercado Americano,
Career,Alta,9.7,Fundo,Transactional/Service focused,Aviation Industry: A Pista de Decolagem para Pilotos e Engenheiros Rumo ao Green Card EB-2 NIW,Industria de la Aviación: La Pista de Despegue para Pilotos e Ingenieros Hacia la Green Card EB-2 NIW,
Career,Alta,9.7,Fundo,Transactional/Service focused,Por Que o Green Card EB-2 NIW é a Escolha Inteligente para Profissionais Latinos Ambiciosos,¿Por Qué la Green Card EB-2 NIW es la Elección Inteligente para Profesionales Latinos Ambiciosos?,
Career,Alta,9.7,Fundo,Transactional/Service focused,EB-2 NIW para Especialistas em IA e Ciência de Dados: Sua Oportunidade no Mercado Tech Americano,EB-2 NIW para Especialistas en IA y Ciencia de Datos: Tu Oportunidad en el Mercado Tech Americano,
Career,Alta,9.6,Topo,Educational/Broad interest,Planejamento Estratégico: Como Transformar sua Experiência Profissional em Residência Americana,Planificación Estratégica: Cómo Transformar tu Experiencia Profesional en Residencia Americana,
